Season,Week,SKU,WTP,SC_A,SC_B,SC_C
1,1,A,358,0,0,0
1,1,A,128,0,0,1
1,1,A,319,0,0,0
1,1,A,702,0,1,0
1,1,A,367,0,0,1
1,1,A,589,0,0,0
1,1,A,84,0,0,0
1,1,A,8,0,0,0
1,1,A,924,0,1,0
1,1,A,256,0,0,0
1,1,A,63,0,1,0
1,1,A,640,0,0,0
1,1,B,763,0,0,0
1,1,B,445,0,0,1
1,1,B,612,0,0,0
1,1,B,891,0,0,0
1,1,B,657,0,0,0
1,1,B,277,0,0,1
1,1,B,491,0,0,0
1,1,B,121,0,0,0
1,1,C,518,0,0,0
1,1,C,553,0,0,0
1,1,C,931,0,0,0
1,1,C,757,0,0,0
1,2,A,819,0,0,0
1,2,A,85,0,1,0
1,2,A,352,0,0,0
1,2,B,781,1,0,0
1,2,B,421,0,0,0
1,2,B,463,0,0,0
1,2,B,472,0,0,1
1,2,B,622,0,0,1
1,2,C,857,0,0,0
1,3,A,602,0,1,0
1,3,A,652,0,1,0
1,3,A,734,0,0,0
1,3,A,564,0,1,0
1,3,A,296,0,0,0
1,3,B,711,0,0,1
1,3,B,587,0,0,1
1,3,B,303,0,0,1
1,3,B,140,0,0,0
1,3,B,176,0,0,0
1,3,C,733,0,0,0
1,3,C,157,0,0,0
1,3,C,96,0,0,0
1,3,C,897,0,0,0
1,3,C,628,0,0,0
1,3,C,192,0,0,0
1,3,C,440,0,0,0
1,3,C,597,0,0,0
1,4,A,381,0,0,0
1,4,A,278,0,0,0
1,4,A,111,0,1,0
1,4,A,506,0,0,1
1,4,A,468,0,1,0
1,4,A,912,0,0,0
1,4,B,396,0,0,0
1,4,B,515,0,0,1
1,4,B,945,0,0,0
1,4,B,50,0,0,0
1,4,B,662,0,0,0
1,4,B,131,0,0,1
1,4,B,161,0,0,0
1,4,B,580,0,0,0
1,4,C,788,0,0,0
1,4,C,431,0,0,0
1,4,C,84,0,0,0
1,4,C,708,0,0,0
1,4,C,320,0,1,0
1,4,C,827,0,0,0
1,4,C,79,0,0,0
1,5,A,542,0,0,0
1,5,A,590,0,1,0
1,5,A,12,0,1,0
1,5,A,139,0,0,1
1,5,B,456,0,0,0
1,5,B,256,0,0,0
1,5,B,812,0,0,0
1,5,B,243,0,0,1
1,5,B,703,0,0,0
1,5,B,631,0,0,1
1,5,B,219,0,0,1
1,5,B,895,1,0,0
1,5,B,277,0,0,0
1,5,C,49,0,0,0
1,5,C,122,0,0,0
1,5,C,267,0,1,0
1,5,C,645,0,0,0
1,5,C,951,0,0,0
1,5,C,901,0,0,0
1,6,A,437,0,0,0
1,6,A,628,0,0,0
1,6,A,226,0,1,0
1,6,A,828,0,0,0
1,6,A,841,0,1,0
1,6,A,867,0,0,0
1,6,A,526,0,0,0
1,6,A,587,0,1,0
1,6,B,192,0,0,1
1,6,B,313,0,0,1
1,6,B,701,0,0,1
1,6,B,493,0,0,0
1,6,B,533,0,0,0
1,6,B,520,0,0,0
1,6,B,551,0,0,0
1,6,B,432,0,0,1
1,6,B,908,0,0,0
1,6,B,668,0,0,0
1,6,C,825,0,0,0
1,6,C,486,0,0,0
1,6,C,505,0,0,0
1,6,C,167,0,0,0
1,7,A,595,0,1,0
1,7,A,236,0,0,0
1,7,A,422,0,0,0
1,7,A,283,0,0,1
1,7,A,503,0,0,0
1,7,A,236,0,0,1
1,7,B,346,0,0,0
1,7,B,183,0,0,1
1,7,B,409,0,0,1
1,7,B,383,0,0,0
1,7,B,99,0,0,0
1,7,C,536,0,0,0
1,7,C,500,0,0,0
1,8,A,157,0,0,0
1,8,A,551,0,1,0
1,8,A,78,0,0,0
1,8,A,86,0,1,0
1,8,A,572,0,0,0
1,8,A,157,0,0,0
1,8,A,574,0,0,0
1,8,A,586,0,1,0
1,8,A,267,0,0,0
1,8,A,142,0,0,0
1,8,B,471,0,0,0
1,8,B,568,0,0,0
1,8,B,8,0,0,0
1,8,B,161,0,0,0
1,8,C,368,0,0,0
1,8,C,16,0,0,0
1,8,C,426,0,0,0
1,8,C,39,0,0,0
1,8,C,129,0,0,0
1,8,C,4,0,0,0
1,8,C,271,0,0,0
1,8,C,331,0,0,0
1,8,C,177,0,0,0
1,8,C,288,0,1,0
1,8,C,552,0,1,0
1,8,C,99,0,0,0
1,8,C,578,0,0,0
1,8,C,147,0,0,0
1,8,C,124,0,0,0
1,9,A,487,0,1,0
1,9,A,354,0,1,0
1,9,A,160,0,1,0
1,9,A,465,0,0,0
1,9,A,385,0,0,0
1,9,A,371,0,0,0
1,9,A,399,0,0,0
1,9,B,320,0,0,0
1,9,B,597,1,0,0
1,9,B,87,0,0,0
1,9,B,151,0,0,0
1,9,B,201,0,0,1
1,9,B,204,0,0,1
1,9,B,430,0,0,0
1,9,B,449,0,0,0
1,9,B,568,0,0,0
1,9,B,388,0,0,0
1,9,B,147,0,0,1
1,9,B,255,1,0,0
1,9,C,27,0,0,0
1,9,C,516,0,1,0
1,9,C,273,0,0,0
1,9,C,373,0,0,0
1,9,C,437,0,0,0
1,9,C,320,0,0,0
1,9,C,444,0,0,0
1,9,C,264,0,0,0
1,9,C,414,0,0,0
1,9,C,229,0,0,0
1,9,C,272,0,0,0
1,9,C,91,0,0,0
1,10,A,4,0,0,1
1,10,A,192,0,0,0
1,10,A,12,0,0,0
1,10,A,357,0,0,0
1,10,A,250,0,0,0
1,10,A,81,0,0,1
1,10,A,289,0,1,0
1,10,A,185,0,0,0
1,10,A,458,0,0,0
1,10,A,238,0,0,0
1,10,A,176,0,1,0
1,10,A,99,0,0,1
1,10,A,494,0,0,0
1,10,A,329,0,0,0
1,10,A,383,0,0,1
1,10,A,594,0,0,0
1,10,A,191,0,0,0
1,10,A,357,0,1,0
1,10,B,173,0,0,1
1,10,B,269,1,0,0
1,10,B,104,0,0,0
1,10,B,329,0,0,0
1,10,B,104,0,0,0
1,10,B,214,0,0,0
1,10,B,308,0,0,0
1,10,B,392,1,0,0
1,10,B,10,0,0,0
1,10,C,434,0,0,0
1,10,C,472,0,0,0
1,10,C,546,0,0,0
1,10,C,143,0,0,0
1,10,C,88,0,0,0
1,10,C,517,0,0,0
2,1,A,296,0,1,0
2,1,A,924,0,0,0
2,1,A,207,0,0,0
2,1,A,434,0,0,0
2,1,A,818,0,0,0
2,1,A,712,0,0,0
2,1,A,975,0,1,0
2,1,A,679,0,0,0
2,1,A,883,0,1,0
2,1,A,421,0,0,0
2,1,B,517,0,0,0
2,1,B,985,0,0,1
2,1,B,17,1,0,0
2,1,B,598,0,0,0
2,1,B,633,1,0,0
2,1,C,620,0,0,0
2,1,C,474,0,0,0
2,1,C,466,0,0,0
2,1,C,673,0,0,0
2,1,C,286,0,0,0
2,1,C,749,0,0,0
2,1,C,619,0,0,0
2,1,C,410,0,0,0
2,1,C,185,0,0,0
2,2,A,625,0,0,0
2,2,A,79,0,0,0
2,2,A,62,0,0,0
2,2,A,787,0,1,0
2,2,A,235,0,0,0
2,2,B,679,0,0,0
2,2,B,303,0,0,0
2,2,B,781,0,0,0
2,2,B,695,0,0,1
2,2,B,936,0,0,0
2,2,B,206,0,0,1
2,2,B,492,0,0,0
2,2,B,145,0,0,1
2,2,B,429,0,0,1
2,2,C,674,0,0,0
2,2,C,747,0,0,0
2,2,C,617,0,0,0
2,2,C,857,0,0,0
2,2,C,239,0,0,0
2,2,C,541,0,0,0
2,2,C,853,0,0,0
2,3,A,134,0,1,0
2,3,A,841,0,1,0
2,3,A,722,0,0,0
2,3,A,17,0,0,0
2,3,A,324,0,1,0
2,3,A,246,0,1,0
2,3,A,556,0,0,1
2,3,B,210,0,0,0
2,3,B,13,0,0,1
2,3,B,648,0,0,0
2,3,B,76,0,0,0
2,3,B,132,0,0,0
2,3,B,191,0,0,0
2,3,B,912,0,0,1
2,3,B,225,0,0,0
2,3,B,928,0,0,0
2,3,C,214,0,0,0
2,3,C,503,0,0,0
2,3,C,12,0,0,0
2,3,C,643,0,0,0
2,3,C,33,0,0,0
2,3,C,963,0,0,0
2,3,C,97,0,0,0
2,3,C,43,0,0,0
2,3,C,143,0,0,0
2,3,C,388,0,0,0
2,3,C,740,0,1,0
2,4,A,89,0,0,0
2,4,A,575,0,0,0
2,4,A,811,0,0,0
2,4,A,681,0,1,0
2,4,A,202,0,1,0
2,4,A,51,0,1,0
2,4,A,339,0,0,1
2,4,A,367,0,1,0
2,4,B,651,0,0,1
2,4,B,498,0,0,0
2,4,B,128,0,0,1
2,4,B,473,0,0,0
2,4,B,590,0,0,0
2,4,B,723,1,0,0
2,4,B,963,0,0,0
2,4,B,272,0,0,0
2,4,B,797,1,0,0
2,4,B,107,0,0,0
2,4,C,136,0,0,0
2,4,C,955,0,0,0
2,4,C,122,0,0,0
2,4,C,687,0,0,0
2,5,A,966,0,0,0
2,5,A,60,0,0,0
2,5,A,536,0,0,0
2,5,A,113,0,1,0
2,5,A,98,0,1,0
2,5,A,348,0,1,0
2,5,A,860,0,0,0
2,5,B,826,0,0,0
2,5,B,207,0,0,0
2,5,C,70,0,0,0
2,5,C,647,0,0,0
2,5,C,724,0,0,0
2,5,C,467,0,0,0
2,5,C,520,0,0,0
2,5,C,89,0,0,0
2,5,C,977,0,0,0
2,6,A,120,0,0,0
2,6,A,150,0,0,1
2,6,A,799,0,0,0
2,6,A,153,0,0,0
2,6,A,645,0,0,0
2,6,A,486,0,1,0
2,6,A,692,0,1,0
2,6,A,722,0,1,0
2,6,B,382,0,0,0
2,6,B,536,0,0,1
2,6,B,86,0,0,1
2,6,B,723,0,0,1
2,6,C,175,0,0,0
2,6,C,713,0,1,0
2,6,C,354,0,0,0
2,6,C,595,0,0,0
2,6,C,420,0,0,0
2,7,A,226,0,1,0
2,7,A,454,0,0,0
2,7,A,533,0,0,0
2,7,A,140,0,0,0
2,7,A,437,0,1,0
2,7,A,525,0,0,0
2,7,A,236,0,0,0
2,7,A,16,0,0,0
2,7,A,516,0,0,0
2,7,A,245,0,1,0
2,7,B,442,0,0,0
2,7,B,336,1,0,0
2,7,B,339,0,0,1
2,7,B,220,0,0,0
2,7,B,450,1,0,0
2,7,B,500,0,0,0
2,7,B,442,0,0,1
2,7,B,539,0,0,0
2,7,B,316,0,0,0
2,7,B,19,0,0,0
2,7,C,578,0,0,0
2,7,C,522,0,0,0
2,8,A,538,0,0,0
2,8,A,551,0,0,0
2,8,A,444,0,1,0
2,8,A,267,0,0,0
2,8,A,476,0,1,0
2,8,A,135,0,0,0
2,8,A,322,0,0,0
2,8,A,163,0,0,0
2,8,A,115,0,0,0
2,8,A,512,0,0,0
2,8,A,119,0,1,0
2,8,A,380,0,1,0
2,8,B,114,0,0,1
2,8,B,340,0,0,0
2,8,B,524,0,0,1
2,8,B,11,0,0,0
2,8,B,364,0,0,0
2,8,B,123,0,0,1
2,8,B,370,0,0,0
2,8,B,88,0,0,0
2,8,B,574,0,0,1
2,8,B,521,0,0,1
2,8,B,113,0,0,0
2,8,C,564,0,0,0
2,8,C,527,0,0,0
2,8,C,568,0,0,0
2,8,C,536,0,0,0
2,8,C,476,0,0,0
2,8,C,35,0,0,0
2,9,A,554,0,1,0
2,9,A,211,0,0,0
2,9,A,430,0,1,0
2,9,A,108,0,1,0
2,9,A,397,0,0,0
2,9,A,189,0,0,1
2,9,A,296,0,0,0
2,9,A,131,0,0,0
2,9,A,553,0,1,0
2,9,A,243,0,0,0
2,9,B,355,0,0,0
2,9,B,178,0,0,0
2,9,B,86,0,0,0
2,9,B,75,0,0,1
2,9,B,8,0,0,0
2,9,B,24,1,0,0
2,9,B,23,1,0,0
2,9,B,96,0,0,0
2,9,C,559,0,0,0
2,9,C,481,0,0,0
2,9,C,361,0,0,0
2,9,C,271,0,0,0
2,9,C,168,0,0,0
2,10,A,143,0,1,0
2,10,A,439,0,1,0
2,10,A,189,0,1,0
2,10,A,574,0,0,0
2,10,A,590,0,0,0
2,10,A,454,0,0,0
2,10,A,115,0,0,0
2,10,A,102,0,1,0
2,10,A,159,0,0,0
2,10,A,379,0,1,0
2,10,A,21,0,0,0
2,10,A,234,0,0,0
2,10,B,200,0,0,0
2,10,B,46,0,0,0
2,10,B,580,0,0,0
2,10,B,109,0,0,0
2,10,B,441,0,0,0
2,10,B,465,0,0,0
2,10,B,55,0,0,0
2,10,B,330,1,0,0
2,10,B,102,0,0,1
2,10,C,3,0,0,0
2,10,C,143,0,0,0
2,10,C,436,0,0,0
2,10,C,511,0,0,0
2,10,C,521,0,0,0
2,10,C,216,0,0,0
2,10,C,6,0,0,0
2,10,C,198,0,0,0
2,10,C,326,0,0,0
2,10,C,308,0,0,0
2,10,C,495,0,0,0
2,10,C,402,0,0,0
2,10,C,586,0,0,0
2,10,C,262,0,0,0
2,10,C,587,0,0,0
3,1,A,691,0,0,1
3,1,A,150,0,0,0
3,1,A,317,0,0,0
3,1,A,659,0,1,0
3,1,A,857,0,0,0
3,1,B,664,0,0,0
3,1,B,344,0,0,1
3,1,B,617,0,0,0
3,1,B,737,0,0,1
3,1,B,58,0,0,1
3,1,B,281,0,0,0
3,1,B,790,0,0,0
3,1,B,203,0,0,1
3,1,C,252,0,0,0
3,1,C,660,0,0,0
3,1,C,419,0,0,0
3,1,C,462,0,0,0
3,2,A,974,0,0,0
3,2,A,647,0,0,0
3,2,A,308,0,1,0
3,2,A,190,0,0,1
3,2,A,991,0,0,0
3,2,A,404,0,0,0
3,2,B,416,0,0,0
3,2,B,274,0,0,1
3,2,B,179,0,0,0
3,2,C,121,0,0,0
3,2,C,924,0,0,0
3,2,C,5,0,0,0
3,2,C,584,0,0,0
3,2,C,210,0,0,0
3,2,C,931,0,0,0
3,3,A,128,0,0,0
3,3,A,300,0,1,0
3,3,A,90,0,0,0
3,3,B,525,0,0,0
3,3,B,27,0,0,1
3,3,B,875,0,0,0
3,3,B,965,0,0,0
3,3,B,752,0,0,0
3,3,B,195,0,0,0
3,3,B,53,0,0,0
3,3,C,250,0,0,0
3,3,C,964,0,0,0
3,3,C,429,0,0,0
3,3,C,745,0,0,0
3,4,A,865,0,1,0
3,4,A,975,0,0,0
3,4,A,143,0,0,1
3,4,A,98,0,0,0
3,4,A,282,0,0,0
3,4,A,310,0,0,0
3,4,A,395,0,1,0
3,4,B,707,0,0,0
3,4,B,2,0,0,0
3,4,C,916,0,0,0
3,4,C,347,0,0,0
3,4,C,241,0,0,0
3,4,C,593,0,0,0
3,4,C,51,0,0,0
3,4,C,662,0,0,0
3,5,A,938,0,0,0
3,5,A,304,0,1,0
3,5,A,1,0,1,0
3,5,A,477,0,0,0
3,5,A,823,0,1,0
3,5,A,776,0,1,0
3,5,A,223,0,0,0
3,5,B,790,0,0,0
3,5,B,101,0,0,0
3,5,B,573,0,0,1
3,5,B,651,0,0,0
3,5,B,289,0,0,0
3,5,B,527,0,0,0
3,5,B,269,0,0,0
3,5,C,96,0,0,0
3,5,C,692,0,0,0
3,5,C,961,0,0,0
